Unnamed: 0,Date,Price,MarketCap,realized_cap,ZScore
3238,2019-06-29,11944.3515473407,212472498172.8127,90305550366.2336,2.3128091408380858
3239,2019-06-30,10842.6167109877,192894852050.4336,90571359315.5362,1.9345959878641363
3240,2019-07-01,10569.5517282291,188055800694.9219,90617431823.76282,1.8399802684093145
3241,2019-07-02,10766.0833162186,191573797165.30005,90806994240.9252,1.90039579894209
3242,2019-07-03,11952.0248935126,212702370943.07428,91242817675.96655,2.2868151193095563
3243,2019-07-04,11177.0103787551,198933276457.7391,91510822870.04764,2.0196919194146057
3244,2019-07-05,10998.3991004676,195780259208.63135,91559091608.24712,1.9568793963388675
3245,2019-07-06,11208.225600526,199540276242.9625,91657221764.79095,2.0227960759076815
3246,2019-07-07,11456.1836039158,203976587746.7229,91763536502.69807,2.1008729153378023
3247,2019-07-08,12319.6228758036,219377477763.70316,92229071311.77003,2.3762768665301084
3248,2019-07-09,12579.107616014,224022378454.79156,92607682695.77704,2.451444721515678
3249,2019-07-10,12106.7829313267,215630230872.31943,93213699295.92154,2.279754097760318
3250,2019-07-11,11294.678028346,201184289957.01913,93271727702.20468,2.0068359084931737
3251,2019-07-12,11813.3237158971,210446784282.81628,93595917701.4521,2.1696585962856925
3252,2019-07-13,11346.837148159,202156624109.18985,93644901619.3472,2.0119890335515858
3253,2019-07-14,10283.0757891292,183223161048.6184,93546318122.3678,1.660969892499255
3254,2019-07-15,10926.3802741087,194705458255.16608,93687529002.56905,1.8686630136286184
3255,2019-07-16,9471.14086475745,168792622415.64972,93548201055.69536,1.3907156536160934
3256,2019-07-17,9674.88246113384,172439745537.4685,93716929006.82063,1.4536976207155792
3257,2019-07-18,10679.8906896552,190368608807.9403,94101032117.23338,1.7755855433245278
3258,2019-07-19,10532.2027291058,187751612032.5812,94256515087.45876,1.7224995107603789
3259,2019-07-20,10862.6485479252,193666316071.8915,94387728120.76942,1.8268111954202535
3260,2019-07-21,10589.7064907656,188819852072.34543,94504264424.05235,1.733509816867476
3261,2019-07-22,10318.5609251899,184005567906.24377,94514022833.8028,1.6431036478270584
3262,2019-07-23,9866.64894038574,175964491508.4287,94460977219.9595,1.495046290336483
3263,2019-07-24,9792.78753652835,174664242180.6186,94757072728.54846,1.4644315422659826
3264,2019-07-25,9897.18678603156,176544865312.07034,94831353877.0993,1.4961369301362044
3265,2019-07-26,9836.69678813559,175486262919.80182,94895777037.8416,1.4742240926328345
3266,2019-07-27,9446.67205207481,168546186473.86264,94883155758.16614,1.346406622597946
3267,2019-07-28,9529.78879193454,170049990002.14154,94907336246.33215,1.37230912182915
3268,2019-07-29,9504.15891595558,169612608048.7696,96650281772.47745,1.3313940815724363
3269,2019-07-30,9589.10920601987,171145664000.66034,96698460037.672,1.3573458484443843
3270,2019-07-31,10059.0040189947,179553810643.16776,96809056345.32808,1.5071779302741684
3271,2019-08-01,10400.3070143776,185664549637.2775,96949372000.0504,1.614227144973308
3272,2019-08-02,10529.6944544126,187996596659.12735,97077097358.69456,1.6525404163168462
3273,2019-08-03,10810.4216686148,193032062731.7072,97186274732.94516,1.7400552581190245
3274,2019-08-04,10986.5089291058,196199230305.8108,97292807946.73312,1.793447865467945
3275,2019-08-05,11790.0239375804,210569633520.0163,97852326219.6103,2.040909441532283
3276,2019-08-06,11423.4970017534,204046458265.07297,98216942702.48346,1.9136437701447269
3277,2019-08-07,11967.2735473407,213782280182.36133,98550486915.36893,2.0805373051217098
